notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard,total-value,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,is_outlier,outlier_status,anomaly_score,prediction_time
25e0cc10-6814-47e3-a62a-d4c62b5f9b95,319930.0,319930.0,12.675860626525496,1,0,0,0,0,0,0,0,0,0,319930.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
d9882ee3-e2e1-442c-a6a2-640ddf3883b2,630300.0,630300.0,13.353952762046031,1,0,0,0,0,0,0,0,0,0,630300.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.175,2025-05-30 11:59:56
8aef83f3-4d9d-4ec3-86f0-90e7f4da6366,150000.0,150000.0,11.918397239722838,1,0,0,0,0,0,0,0,0,0,150000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1709,2025-05-30 11:59:56
d77e5db4-1e8d-4793-b716-758f04c15251,1507875.0,1507875.0,14.226212596052411,1,0,0,0,0,0,0,0,0,0,1507875.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1708,2025-05-30 11:59:56
413d235e-38af-405d-9eae-5b378b90c310,2927884.0,2927884.0,14.889790877335734,1,0,0,0,0,0,0,0,0,0,2927884.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.168,2025-05-30 11:59:56
9330f10c-0a8c-457e-872e-94e9f9edf978,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
55969922-4da5-49b3-8769-b35830704f3b,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
1e27dc26-1b8f-414f-9d5b-aa299aad7995,419703.54,419703.54,12.947306266513593,1,0,0,0,0,0,0,0,0,0,419703.54,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1748,2025-05-30 11:59:56
7063edc5-ab7d-4a2b-8f78-9196ccdf3d3f,22000.0,22000.0,9.99884318585288,1,0,0,0,0,0,0,0,0,0,22000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1523,2025-05-30 11:59:56
689115d7-ac0c-4212-a7c6-a014a876ee38,217499.99999999997,217499.99999999997,12.289958727201457,1,0,0,0,0,0,0,0,0,0,2500000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1684,2025-05-30 11:59:56
