notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg,total-value
a1dfa9f4-31c4-4119-ac64-5bac16bacfdf,9266.4,9266.4,9.134258144570124,1,4.0,1,0,0,0,0,0,0,0,0,0,237600.0
5e686633-00b9-4845-98d8-3a06843d59c4,160000.0,160000.0,11.982935344196433,0,,1,0,0,0,0,0,0,0,0,0,160000.0
c961b542-e65b-431a-938b-03ff54c5e539,138184.0,138184.0,11.836348646074777,3,2.5,1,0,0,0,0,0,0,0,0,0,138184.0
9f81923e-6c86-4656-a799-65fd6f9df8a5,368160.0,368160.0,12.816275621475848,0,,0,1,0,0,0,0,0,0,0,0,9440000.0
97967ad2-c1cc-43bb-a444-efd05616c67f,360000.0,360000.0,12.793862088206213,1,2.5,1,0,0,0,0,0,0,0,0,0,360000.0
a72eae6f-2ba8-4e12-a221-24270cc09352,2610000.0,2610000.0,14.774861162440565,0,,0,1,0,0,0,0,0,0,0,0,30000000.0
ae2d8786-7391-4e56-9c4e-61ba74dfcb8e,1455.987,1455.987,7.284125883712023,1,2.5,1,0,0,0,0,0,0,0,0,0,37333.0
64ce7875-6599-4bd8-8b13-7cdf43dffa21,399548.019,399548.019,12.898091737537424,0,,1,0,0,0,0,0,0,0,0,0,10244821.0
abc6fbf7-143a-4d11-9374-412cedac849e,85838.1,85838.1,11.360229892627062,1,2.0,1,0,0,0,0,0,0,0,0,0,85838.1
b5722025-872e-4e96-a5de-0e76a7b3370b,120066.57,120066.57,11.695809946625582,1,2.5,1,0,0,0,0,0,0,0,0,0,120066.57
8434e599-9211-40e2-b9a3-3363c3aa8c63,488670.0,488670.0,13.099444740388428,0,,0,1,0,0,0,0,0,0,0,0,12530000.0
63cb702e-d077-4001-92a5-e6a59a92cd9a,17502.849,17502.849,9.770176078584864,1,2.5,1,0,0,0,0,0,0,0,0,0,448791.0
a56ca8b1-3a98-413e-bc69-ee8ed2c4c1f8,4483764.25,4483764.25,15.31597370899374,1,4.0,1,0,0,0,0,0,0,0,0,0,4483764.25
b280cb88-07f7-4940-a1d9-3e3f37ba0752,51461.3103,51461.3103,10.848604979892109,0,,1,0,0,0,0,0,0,0,0,0,100904.53
3fc373b9-c9e9-4b66-ae05-6d5bea45abc0,300000.0,300000.0,12.611541086966115,0,,0,1,0,0,0,0,0,0,0,0,300000.0
