notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
40bb0cf0-6273-4bf9-b983-7ade3e126f58,none,can-standard,,188157-2025,,32014L0024,DEU,vob-a-eu,7fba2a3d-64ce-4eab-b701-3f51fc0d8417,selec-w,small,,115741.66,,,,,,,,,EUR,115741.66,115741.66,False,11.659124557410824,1,small,2.0,0,1,0,0,0,0,0,0,0
15ced0d9-c526-4964-96fb-a7a974cbb620,,can-modif,,188158-2025,,32014L0024,DEU,vob-a-eu,2706c8a5-1dea-4d86-a2b8-7416e6181e50,,,,203382.9,,,,,,,,,EUR,203382.9,203382.9,False,12.222850605088109,0,,,0,0,1,0,0,0,0,0,0
1492292e-8143-48d1-8e5e-cdad322d420e,none,can-standard,,188159-2025,True,32014L0024,DEU,vob-a-eu,9c9bbf40-b75a-4000-a8cc-1db59126583f,selec-w,small,,103957.0,EUR,DEU,,,,,,,EUR,103957.0,103957.0,False,11.551742250401844,1,small,2.0,0,1,0,0,0,0,0,0,0
2681f9b4-b673-4d28-bdac-730d785a550e,none,can-standard,,188164-2025,False,32014L0024,DEU,vob-a-eu|other,9433f020-da0f-47f1-ac5d-969d5ef566b6,selec-w,medium,,360684.87,,,,,,,['GWB – Gesetz gegen Wettbewerbsbeschränkungen'],,EUR,360684.87,360684.87,False,12.79576269229565,1,medium,3.0,0,1,0,0,0,0,0,0,0
1701428d-7268-4b26-b47f-9adfde1d5168,none,can-standard,,188168-2025,False,32014L0024,DEU,vob-a-eu,99872498-1435-4200-a4d6-b6929e86bf31,selec-w,medium,,1526508.0,,DEU,,,,,,,EUR,1526508.0,1526508.0,False,14.238493986979847,1,medium,3.0,0,1,0,0,0,0,0,0,0
e5168375-d6a1-4cba-81ac-176c4639acc3,none,can-standard,,188177-2025,False,32014L0024,DEU,vob-a-eu|other,ed749510-0fbb-4a95-8697-e639067e74b6,selec-w,medium,,7702341.99,,,,,,,['GWB – Gesetz gegen Wettbewerbsbeschränkungen'],,EUR,7702341.99,4792500.0,True,15.857035124954383,1,medium,3.0,0,1,0,0,0,0,0,0,0
270afc29-d87d-4f5a-b146-3c747a19b55d,none,cn-standard,nati-ground|bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188183-2025,False,32014L0024,DEU,vgv,31ac668d-41db-4d48-8dd6-d117913e8558,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
df4164a6-8d38-4e87-8ece-675713bae795,none|none,cn-standard,nati-ground,188189-2025,,32014L0024,DEU,vgv,d15d8add-735f-4bd5-87ec-585612fc7f52,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
37c2c3d8-e64b-4af5-996a-57f2892e4f3e,none,cn-standard,corruption|crime-org|distorsion|finan-laund|fraud|human-traffic|labour-law|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|susp-act|terr-offence,188196-2025,True,32014L0024,DEU,vob-a-eu,8f900ed4-a34c-4acc-849f-1f3658517e6e,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
09bea3b5-1280-4863-9825-a8b8a61052bf,none,can-standard,,188202-2025,False,32014L0024,DEU,vgv,527e3b27-e328-4be6-9147-66c55c2b1262,selec-w,medium,,1.0,,,,,,,,,EUR,1.0,1.0,False,0.6931471805599453,1,medium,3.0,0,1,0,0,0,0,0,0,0
