notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
db65f63a-91e2-4f10-8c4b-87bcd2efe064,1938027.0,1938027.0,14.477181519212897,0,,0,1,0,0,0,0,0,0,0,1938027.0
e47f470c-ce95-4a27-b0c4-8a89aa0d15b3,36035.55,36035.55,10.492288980170121,6,1.0,1,0,0,0,0,0,0,0,0,36035.55
3a236340-c9c5-4a3c-9de4-30b8e5ae1fd2,949183.7,949183.7,13.76335868457692,0,,0,1,0,0,0,0,0,0,0,949183.7
0487c619-64fe-427a-ae8d-b76bf59a8187,226064.63,226064.63,12.328580634327107,0,,0,1,0,0,0,0,0,0,0,226064.63
710a7104-00c6-47c3-85ae-b0c93bc868d9,388852.95,388852.95,12.870959102230168,1,2.0,1,0,0,0,0,0,0,0,0,388852.95
41d57bd6-7bf7-40b1-9d8c-21c81c42c637,1941696.39,1941696.39,14.479073091798709,1,3.0,1,0,0,0,0,0,0,0,0,1941696.39
0678075d-a7f2-4ba7-bd73-5971e518e74a,269123.0,269123.0,12.502927518914289,0,,1,0,0,0,0,0,0,0,0,269123.0
c359c88d-c3dc-4a96-b51c-26e9393db6c3,84399.55,84399.55,11.343329197150494,1,3.0,1,0,0,0,0,0,0,0,0,84399.55
10faca4f-e01a-4b22-af84-337dd61399a6,688.5,688.5,6.5359666972333565,1,1.0,1,0,0,0,0,0,0,0,0,688.5
57040db3-1173-470e-826b-1e3a1fcb47d9,1086693.55,1086693.55,13.898651123854783,0,,0,0,1,0,0,0,0,0,0,1086693.55
4de30a01-a4ab-4ac2-9e9f-3a28618dbe48,338400.0,338400.0,12.731986861792581,1,2.5,1,0,0,0,0,0,0,0,0,338400.0
e5995270-57ac-4223-8d84-2966eeac16f7,300000.0,300000.0,12.611541086966115,0,,0,1,0,0,0,0,0,0,0,300000.0
c84c89f2-e3d5-4d24-a7a0-6570697ad8e1,67884.75,67884.75,11.125581424069397,1,3.0,1,0,0,0,0,0,0,0,0,67884.75
ae429d74-080a-4e3e-aaed-ab5062891959,2900000.0,2900000.0,14.88022163978423,0,,0,1,0,0,0,0,0,0,0,2900000.0
ff6dd7c7-ea0b-42c1-a4d3-d0df68d8c452,552500.0,552500.0,13.222210522327158,0,,0,1,0,0,0,0,0,0,0,552500.0
f4532864-af4c-42ce-a3d3-ba2d8a451afa,684832.6,684832.6,13.436931168026561,3,3.0,1,0,0,0,0,0,0,0,0,684832.6
040ff85b-36a4-489d-931f-4e9246f717dd,1478717.5,1478717.5,14.2066863922727,1,3.0,1,0,0,0,0,0,0,0,0,1478717.5
e7ef3ec5-b372-4f0f-9127-af76b4e10be2,160000.0,160000.0,11.982935344196433,1,3.0,1,0,0,0,0,0,0,0,0,160000.0
64f35d7f-a5f0-41ef-bde7-8466f4276d1e,25789000.0,9312578.711999994,17.065458641163108,5,2.5,1,0,0,0,0,0,0,0,0,25789000.0
680725d6-ab1b-4628-8f22-8d27c56346a0,38300.0,38300.0,10.55323128448846,0,,0,1,0,0,0,0,0,0,0,38300.0
