notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
076a6d20-c2a7-4eb4-ab61-0df7d94e84e0,106486.96,106486.96,11.575787206097607,1,2.5,0,1,0,0,0,0,0,0,106486.96
db98dd04-e26a-4899-880b-b24449364a20,20000000.0,20000000.0,16.811242881518265,0,,0,1,0,0,0,0,0,0,20000000.0
3afc6fac-138f-4f17-be72-41b37f3bcb3f,2610000.0,2610000.0,14.774861162440565,0,,1,0,0,0,0,0,0,0,30000000.0
d808bbb8-f281-4a5e-8bc8-7d98952e3cb0,1689103.2,1689103.2,14.339708887196634,1,4.0,0,0,0,1,0,0,0,0,1689103.2
a5a32316-7c5f-423a-950c-8e0e650c812c,1575554.994,1575554.994,14.270118780011265,1,1.0,0,1,0,0,0,0,0,0,605982690.0
7d2f6470-3231-415d-bb36-415b5804e8a6,305895.1,305895.1,12.631000780793256,1,4.0,0,1,0,0,0,0,0,0,305895.1
54ac55c6-c378-4d8d-b551-704272bfd43f,82600.0,82600.0,11.321777065973317,1,2.5,0,1,0,0,0,0,0,0,82600.0
945f2c9e-ab44-40c5-903e-5d4f3dc4d0d8,240000.0,240000.0,12.388398368982115,0,,1,0,0,0,0,0,0,0,240000.0
70509fd9-64b5-444a-ac27-e05e0241b74f,1159673.78,1159673.78,13.96365016170479,1,2.5,0,0,0,1,0,0,0,0,1159673.78
e6393915-219b-4d2a-833d-98bd7c8a5661,3682192.5,3682192.5,15.11901919235465,1,4.0,0,1,0,0,0,0,0,0,3682192.5
656abb50-8293-463c-89b6-c2201147e8c3,57287.4,57287.4,10.955853438927447,1,3.0,0,1,0,0,0,0,0,0,57287.4
0cf666c0-3c39-4357-9b91-f29caec16851,1314765.4,1314765.4,14.089169565228138,1,4.0,0,1,0,0,0,0,0,0,1314765.4
e41c5a74-d11d-4ebb-867d-04087191ba39,23790000.0,23506828.500000007,16.984775924313606,0,,1,0,0,0,0,0,0,0,23790000.0
867d18f7-4d96-4bdc-b002-4979d871471f,387263.00067,387263.00067,12.866861911712078,1,2.5,0,1,0,0,0,0,0,0,9929820.53
a27b57e6-7425-4a2b-a707-0e394996d20f,792000.0,792000.0,13.58231793342203,0,,1,0,0,0,0,0,0,0,792000.0
820b8ff2-a720-4c31-9cfb-44034850d7f7,23160730.0,23160730.0,16.95796877321069,0,,0,1,0,0,0,0,0,0,23160730.0
a62338bf-7e41-4c3a-8126-9facf4971897,16000000.0,16000000.0,16.588099342704055,0,,1,0,0,0,0,0,0,0,16000000.0
ac6c2e47-87a7-4384-bf8c-bb202aaac646,91001.44716,91001.44716,11.418641677005539,1,4.0,0,1,0,0,0,0,0,0,2333370.44
f20349d8-82f4-4c64-befe-12a938d32c51,55035.0,55035.0,10.915742795547708,1,2.0,0,1,0,0,0,0,0,0,55035.0
b49ed7a8-1d78-47c5-9596-5a149a348f09,395222.0,395222.0,12.887205441542957,2,2.5,0,1,0,0,0,0,0,0,395222.0
